"No.","Time","Source","Destination","Protocol","Length","Info"
"36","0.511348000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","60","39803 > https [SYN] Seq=0 Win=27320 Len=0 MSS=1366 SACK_PERM=1 TSval=450854 TSecr=0 WS=128"
"37","0.511368000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0x9e9c  A www.volksbank-stormarn.de"
"38","0.511407000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0xf8e9  AAAA www.volksbank-stormarn.de"
"39","0.514826000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","161","Standard query response 0x9e9c  A 194.149.250.192"
"40","0.515312000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","136","Standard query response 0xf8e9 "
"41","0.523614000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","44","https > 39803 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1360"
"42","0.523644000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=1 Ack=1 Win=3496960 Len=0"
"43","0.523810000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","239","Client Hello"
"44","0.538425000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"45","0.538448000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=200 Ack=1361 Win=3829760 Len=0"
"46","0.539001000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"47","0.539007000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=200 Ack=2721 Win=4177920 Len=0"
"48","0.539012000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","1353","Server Hello, Certificate"
"49","0.539017000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=200 Ack=4034 Win=4526080 Len=0"
"50","0.540238000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","382","Server Key Exchange, Server Hello Done"
"51","0.540246000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=200 Ack=4376 Win=4874240 Len=0"
"52","0.542428000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","190","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"53","0.548397000","tiles.r53-2.services.mozilla.com","ws197185.vpn.haw-hamburg.de","TLSv1.2","310","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"54","0.554558000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","40","https > 39803 [ACK] Seq=4376 Ack=350 Win=35140 Len=0"
"55","0.562931000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","115","Change Cipher Spec, Encrypted Handshake Message"
"56","0.563112000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","445","Application Data"
"57","0.573908000","tiles.r53-2.services.mozilla.com","ws197185.vpn.haw-hamburg.de","TLSv1.2","227","Application Data"
"58","0.573928000","ws197185.vpn.haw-hamburg.de","tiles.r53-2.services.mozilla.com","TCP","52","40126 > https [ACK] Seq=914 Ack=3375 Win=37504 Len=0 TSval=450870 TSecr=820829483"
"59","0.575150000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","40","https > 39803 [ACK] Seq=4451 Ack=755 Win=34735 Len=0"
"60","0.599611000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","429","Application Data"
"61","0.600919000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","445","Application Data"
"62","0.601072000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0xc070  A www.volksbank-stormarn.de"
"63","0.601157000","ws197185.vpn.haw-hamburg.de","dns.is.haw-hamburg.de","DNS","71","Standard query 0x244e  AAAA www.volksbank-stormarn.de"
"64","0.604382000","dns.is.haw-hamburg.de","ws197185.vpn.haw-hamburg.de","DNS","161","Standard query response 0xc070  A 194.149.250.192"
